name,floor,wall,roof,window,permeability,spec_wall_heat_cap,wall_density
Bailrigg House MC003_0,0.22,0.26,0.18,1.6,3,840,2000
Bailrigg House MC003_1,0.22,0.26,0.18,1.6,3,840,2000
Bailrigg House MC003_2,0.22,0.26,0.18,1.6,3,840,2000
Bailrigg House MC003_3,0.22,0.26,0.18,1.6,3,840,2000
Barker House Farm AP081_0,0.22,0.26,0.18,1.6,3,840,2000
Barker House Farm AP081_1,0.22,0.26,0.18,1.6,3,840,2000
Bigforth Farm MC007_0,0.22,0.26,0.18,1.6,3,840,2000
Bowland Annexe MC030_0,0.22,0.26,0.18,1.6,3,840,2000
Bowland Annexe MC030_1,0.22,0.26,0.18,1.6,3,840,2000
Bowland Annexe MC030_2,0.22,0.26,0.18,1.6,3,840,2000
Bowland Annexe MC030_3,0.22,0.26,0.18,1.6,3,840,2000
Bowland ASH House MC042_0,0.22,0.26,0.18,1.6,3,840,2000
Bowland ASH House MC042_1,0.22,0.26,0.18,1.6,3,840,2000
Bowland ASH House MC042_2,0.22,0.26,0.18,1.6,3,840,2000
Bowland ASH House MC042_3,0.22,0.26,0.18,1.6,3,840,2000
Bowland East MC052_0,0.22,0.26,0.18,1.6,3,840,2000
Bowland East MC052_1,0.22,0.26,0.18,1.6,3,840,2000
Bowland East MC052_2,0.22,0.26,0.18,1.6,3,840,2000
Bowland East MC052_3,0.22,0.26,0.18,1.6,3,840,2000
Bowland Hall MC029_0,0.22,0.26,0.18,1.6,3,840,2000
Bowland Hall MC029_1,0.22,0.26,0.18,1.6,3,840,2000
Bowland Hall Residences MC014_0,0.22,0.26,0.18,1.6,3,840,2000
Bowland Hall Residences MC014_1,0.22,0.26,0.18,1.6,3,840,2000
Bowland Hall Residences MC014_2,0.22,0.26,0.18,1.6,3,840,2000
Bowland Hall Residences MC014_3,0.22,0.26,0.18,1.6,3,840,2000
Bowland Main MC046_0,0.22,0.26,0.18,1.6,3,840,2000
Bowland Main MC046_1,0.22,0.26,0.18,1.6,3,840,2000
Bowland Main MC046_2,0.22,0.26,0.18,1.6,3,840,2000
Bowland Main MC046_3,0.22,0.26,0.18,1.6,3,840,2000
Bowland Main MC046_4,0.22,0.26,0.18,1.6,3,840,2000
Bowland North MC043_1,0.22,0.26,0.18,1.6,3,840,2000
Bowland North MC043_2,0.22,0.26,0.18,1.6,3,840,2000
Bowland North MC043_3,0.22,0.26,0.18,1.6,3,840,2000
Bowland South MC064_0,0.22,0.26,0.18,1.6,3,840,2000
Bowland South MC064_1,0.22,0.26,0.18,1.6,3,840,2000
Bowland South MC064_2,0.22,0.26,0.18,1.6,3,840,2000
Bowland South MC064_3,0.22,0.26,0.18,1.6,3,840,2000
Bowland South MC064_4,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_0,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_1,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_10,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_11,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_12,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_13,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_14,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_2,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_3,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_4,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_5,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_6,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_7,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_8,0.22,0.26,0.18,1.6,3,840,2000
Bowland Tower MC062_9,0.22,0.26,0.18,1.6,3,840,2000
Central Workshops MC053_1,0.22,0.26,0.18,1.6,3,840,2000
Chaplaincy Centre MC048_0,0.22,0.26,0.18,1.6,3,840,2000
Chaplaincy Centre MC048_1,0.22,0.26,0.18,1.6,3,840,2000
Charles Carter MC202_0,0.22,0.26,0.18,1.6,3,840,2000
Charles Carter MC202_1,0.22,0.26,0.18,1.6,3,840,2000
