,path,scale,paper size,drawing number,drawing title,building number,building name,name,room_name,room_desc,room_area,PNG_title
0,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,,Filing ,23.3,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
1,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,,Boiler ,15,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,,Storage ,16.4,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
3,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,LGO2,Oil ,16.4,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
4,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,LGO7,Store ,5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,,Corridor ,19.2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,,swt Stairwell ,3.4,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A22,,2.6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A20/A21,Dentist ,13.5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
9,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A07/A08,Office ,44.8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
