,path,scale,paper size,drawing number,drawing title,building number,building name,name,room_name,room_desc,room_area,desc_loc_lists,name_locs,area_locs,PNG_title
0,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,,Filing ,23.3,"[{'y1': 1943, 'x1': 3412, 'y2': 1981, 'x2': 3504}]",{},"{'y1': 1985, 'x1': 3412, 'y2': 2015, 'x2': 3538}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
1,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,,Boiler ,15.0,"[{'y1': 1942, 'x1': 4164, 'y2': 1972, 'x2': 4267}]",{},"{'y1': 1985, 'x1': 4164, 'y2': 2015, 'x2': 4287}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
2,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,,Storage ,16.4,"[{'y1': 1942, 'x1': 4652, 'y2': 1981, 'x2': 4792}]",{},"{'y1': 1985, 'x1': 4651, 'y2': 2015, 'x2': 4774}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
3,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,LGO2,Oil ,16.4,"[{'y1': 2040, 'x1': 5216, 'y2': 2070, 'x2': 5261}]","{'y1': 1998, 'x1': 5216, 'y2': 2028, 'x2': 5311}","{'y1': 2083, 'x1': 5216, 'y2': 2113, 'x2': 5339}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
4,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,LGO7,Store ,5.0,"[{'y1': 2300, 'x1': 3361, 'y2': 2330, 'x2': 3456}]","{'y1': 2258, 'x1': 3361, 'y2': 2288, 'x2': 3457}","{'y1': 2352, 'x1': 3361, 'y2': 2382, 'x2': 3464}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
5,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,,Corridor ,19.2,"[{'y1': 2288, 'x1': 4745, 'y2': 2318, 'x2': 4893}]",{},"{'y1': 2330, 'x1': 4745, 'y2': 2361, 'x2': 4868}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
6,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png,0.01,A2,MCO003_LG Floor,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,,swt Stairwell ,3.4,"[{'y1': 2427, 'x1': 4079, 'y2': 2457, 'x2': 4230}, {'y1': 2390, 'x1': 4079, 'y2': 2421, 'x2': 4159}]",{},"{'y1': 2466, 'x1': 4078, 'y2': 2497, 'x2': 4181}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_0.png
7,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A22,,2.6,[],"{'y1': 1757, 'x1': 5039, 'y2': 1786, 'x2': 5110}","{'y1': 1842, 'x1': 5039, 'y2': 1872, 'x2': 5142}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
8,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A20/A21,Dentist ,13.5,"[{'y1': 1827, 'x1': 4591, 'y2': 1857, 'x2': 4716}]","{'y1': 1785, 'x1': 4591, 'y2': 1815, 'x2': 4741}","{'y1': 1870, 'x1': 4591, 'y2': 1900, 'x2': 4714}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
9,C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png,0.01,A2,MC003_A_Floor,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,A07/A08,Office ,44.8,"[{'y1': 1871, 'x1': 1018, 'y2': 1901, 'x2': 1122}]","{'y1': 1829, 'x1': 1019, 'y2': 1859, 'x2': 1175}","{'y1': 1914, 'x1': 1018, 'y2': 1944, 'x2': 1145}",C:\Users\rawdo\Documents\year 4\project\Building Plans Full\PNG\Bailrigg House MC003_1.png
