index,Unnamed: 0,scale,paper size,drawing title,building number,building name,name,area_air,perimeter,area_total,area_wall,volume_air,volume_wall,surface_area_wall,surface_area_roof,building_num_from_path
0,0,0.01,A2,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,98.7,0,0,0,0,0,0,0,MC003
1,7,0.01,A2,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,489.4,0,0,0,0,0,0,0,MC003
2,38,0.01,A2,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,833.7,0,0,0,0,0,0,0,MC003
3,60,0.01,A2,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,236.5,0,0,0,0,0,0,0,MC003
4,75,0.01,A1,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,1007,0,0,0,0,0,0,0,AP081
5,114,0.01,A1,B Floor,AP081,Barker House Farm,Barker House Farm AP081_1,71.9,0,0,0,0,0,0,0,AP081
6,117,-1,A3,A Floor,"

MC007",Bigforth Farm,Bigforth Farm MC007_0,296.9,0,0,0,0,0,0,0,MC007
7,132,0.01,A1,A Floor,MC030,Bowland Annexe,Bowland Annexe MC030_0,470.5,0,0,0,0,0,0,0,MC030
8,144,0.01,A1,B Floor,MC030,Bowland Annexe,Bowland Annexe MC030_1,448.8,0,0,0,0,0,0,0,MC030
9,153,0.01,A1,C Floor,MC030,Bowland Annexe,Bowland Annexe MC030_2,388.6,0,0,0,0,0,0,0,MC030
10,189,0.01,A1,D Floor,MC030,Bowland Annexe,Bowland Annexe MC030_3,421.6,0,0,0,0,0,0,0,MC030
11,228,0.01,A1,A Floor,MC042,Bowland ASH House,Bowland ASH House MC042_0,577.2,251.9414501,823.2392419,246.0392419,0,0,0,0,MC042
12,247,0.01,A1,B Floor,MC042,Bowland ASH House,Bowland ASH House MC042_1,30.5,237.8777221,1004.581535,974.0815353,0,0,0,21.08336434,MC042
13,252,0.01,A1,C Floor,MC042,Bowland ASH House,Bowland ASH House MC042_2,22.2,223.7132984,983.498171,961.298171,0,0,0,267.9346174,MC042
14,256,0.01,A1,D Floor,MC042,Bowland ASH House,Bowland ASH House MC042_3,42.8,250.3894645,715.5635535,672.7635535,0,0,0,715.5635535,MC042
15,260,0.02,A1,A Floor,MC052,Bowland East,Bowland East MC052_0,270.01,78.46031673,291.6431263,21.63312635,722.27675,145.3615509,233.4194423,7.245046875,MC052
16,272,0.02,A1,B Floor,MC052,Bowland East,Bowland East MC052_1,257.9,75.87119875,284.3980795,26.49807947,689.8825,156.2017864,225.7168163,0,MC052
17,298,0.02,A1,C Floor,MC052,Bowland East,Bowland East MC052_2,257.9,75.86829438,284.5783934,26.67839344,689.8825,156.7382205,225.7081758,177.6595874,MC052
18,324,0.02,A1,D Floor,MC052,Bowland East,Bowland East MC052_3,88.1,54.08003379,106.918806,18.81880603,235.6675,82.41594793,160.8881005,106.918806,MC052
19,333,0.02,A1,A Floor,MC029,Bowland Hall,Bowland Hall MC029_0,294.1,0,0,0,1092.5815,0,0,0,MC029
20,350,0.02,A1,B Floor,MC029,Bowland Hall,Bowland Hall MC029_1,155.02,0,0,0,575.8993,0,0,0,MC029
21,355,0.005,A1,A Floor,MC014,Bowland Hall Residences,Bowland Hall Residences MC014_0,1295,0,0,0,0,0,0,0,MC014
22,458,0.005,A1,B Floor,MC014,Bowland Hall Residences,Bowland Hall Residences MC014_1,1447.5,0,0,0,0,0,0,0,MC014
23,566,0.005,A1,C Floor,MC014,Bowland Hall Residences,Bowland Hall Residences MC014_2,1328.4,0,0,0,0,0,0,0,MC014
24,666,0.005,A1,D Floor,MC014,Bowland Hall Residences,Bowland Hall Residences MC014_3,1572.4,0,0,0,0,0,0,0,MC014
25,774,-1,A3,LG Floor,MC046,Bowland Main,Bowland Main MC046_0,164,0,0,0,0,0,0,0,MC046
26,780,0.005,A1,A Floor,MC046,Bowland Main,Bowland Main MC046_1,2420.6,0,0,0,0,0,0,0,MC046
27,844,0.005,A1,B Floor,MC046,Bowland Main,Bowland Main MC046_2,2172.1,0,0,0,0,0,0,0,MC046
28,956,0.005,A1,C Floor,MC046,Bowland Main,Bowland Main MC046_3,1968,0,0,0,0,0,0,0,MC046
29,1131,0.005,A1,D Floor,MC046,Bowland Main,Bowland Main MC046_4,772.5,0,0,0,0,0,0,0,MC046
30,1211,0.005,A1,B Floor,MC043,Bowland North,Bowland North MC043_1,2133.06,0,0,0,0,0,0,0,MC043
31,1360,0.005,A1,C Floor,MC043,Bowland North,Bowland North MC043_2,2263.8,0,0,0,0,0,0,0,MC043
32,1515,0.005,A1,D Floor,MC043,Bowland North,Bowland North MC043_3,778.7,0,0,0,0,0,0,0,MC043
33,1571,0.01,A1,LG Floor,MC064,Bowland South,Bowland South MC064_0,487.9,151.4619204,791.6727944,303.7727944,1363.1926,1086.243026,468.6231818,26.59106486,MC064
34,1585,0.01,A1,A Floor,MC064,Bowland South,Bowland South MC064_1,472.3,164.0869597,765.0817295,292.7817295,1319.6062,1047.556671,507.6850532,215.3099937,MC064
35,1610,0.01,A1,B Floor,MC064,Bowland South,Bowland South MC064_2,451.6,136.1877829,549.7717358,98.17173583,1261.7704,439.2233506,421.3650004,0,MC064
36,1655,0.01,A1,C Floor,MC064,Bowland South,Bowland South MC064_3,467.6,148.1752947,576.2439903,108.6439903,1306.4744,476.4245059,458.4543618,406.3709514,MC064
37,1701,0.01,A1,D Floor,MC064,Bowland South,Bowland South MC064_4,125.8,87.16252514,169.8730389,44.07303888,351.4852,174.1019823,269.6808528,169.8730389,MC064
38,1714,0.02,A3,A Floor,MC062,Bowland Tower,Bowland Tower MC062_0,145,57.08331401,131.8935536,0,344.1333333,39.56806609,152.6027261,54.22943572,MC062
39,1723,0.02,A3,B Floor,MC062,Bowland Tower,Bowland Tower MC062_1,55.9,46.76062491,77.66411791,21.76411791,132.6693333,74.95274188,125.0067373,0,MC062
40,1731,0.02,A3,L Floor,MC062,Bowland Tower,Bowland Tower MC062_10,89.3,56.73874089,152.8847111,63.58471108,211.9386667,196.7731276,151.6815673,0,MC062
41,1746,0.02,A3,M Floor,MC062,Bowland Tower,Bowland Tower MC062_11,89.3,56.73874089,152.8847111,63.58471108,211.9386667,196.7731276,151.6815673,0,MC062
42,1761,0.02,A3,N Floor,MC062,Bowland Tower,Bowland Tower MC062_12,89.3,56.73874089,152.8847111,63.58471108,211.9386667,196.7731276,151.6815673,0,MC062
43,1776,0.02,A3,O Floor,MC062,Bowland Tower,Bowland Tower MC062_13,89.3,56.73874089,152.8847111,63.58471108,211.9386667,196.7731276,151.6815673,95.74379036,MC062
44,1791,0.02,A3,P Floor,MC062,Bowland Tower,Bowland Tower MC062_14,15.8,40.86660505,57.14092071,41.34092071,37.49866667,115.2580614,109.2500575,0,MC062
45,1792,0.02,A3,C Floor,MC062,Bowland Tower,Bowland Tower MC062_2,63.7,50.50940722,91.55912899,27.85912899,151.1813333,93.58673816,135.028482,0,MC062
46,1801,0.02,A3,D Floor,MC062,Bowland Tower,Bowland Tower MC062_3,89.3,56.73874089,152.8847111,63.58471108,211.9386667,196.7731276,151.6815673,0.019485658,MC062
47,1816,0.02,A3,E Floor,MC062,Bowland Tower,Bowland Tower MC062_4,89.3,56.735235,152.8652254,63.56522542,211.9386667,196.721036,151.6721949,0,MC062
48,1831,0.02,A3,F Floor,MC062,Bowland Tower,Bowland Tower MC062_5,89.3,56.73874089,152.8847111,63.58471108,211.9386667,196.7731276,151.6815673,0,MC062
49,1846,0.02,A3,G Floor,MC062,Bowland Tower,Bowland Tower MC062_6,89.3,56.73874089,152.8847111,63.58471108,211.9386667,196.7731276,151.6815673,0,MC062
50,1861,0.02,A3,H Floor,MC062,Bowland Tower,Bowland Tower MC062_7,89.3,56.73874089,152.8847111,63.58471108,211.9386667,196.7731276,151.6815673,0,MC062
51,1876,0.02,A3,J Floor,MC062,Bowland Tower,Bowland Tower MC062_8,89.3,56.73874089,152.8847111,63.58471108,211.9386667,196.7731276,151.6815673,0,MC062
52,1891,0.02,A3,K Floor,MC062,Bowland Tower,Bowland Tower MC062_9,89.3,56.73874089,152.8847111,63.58471108,211.9386667,196.7731276,151.6815673,152.8847111,MC062
53,1906,0.02,A3,B Floor,MC053,Central Workshops,Central Workshops MC053_1,75.2,0,0,0,0,0,0,0,MC053
54,1910,0.01,A1,A Floor,MC048,Chaplaincy Centre,Chaplaincy Centre MC048_0,248.8,0,0,0,0,0,0,0,MC048
55,1920,0.01,A1,B Floor,MC048,Chaplaincy Centre,Chaplaincy Centre MC048_1,309.7,0,0,0,0,0,0,0,MC048
56,1947,0.01,A1,A Floor,MC202,Charles Carter,Charles Carter MC202_0,774.5,154.3536052,1007.323526,232.823526,2163.953,952.7059895,477.5700546,5.247686315,MC202
57,1963,0.01,A1,B Floor,MC202,Charles Carter,Charles Carter MC202_1,561.3,146.9028834,1002.07584,440.7758397,1568.2722,1532.150448,454.5175211,0,MC202
58,2004,0.01,A1,C Floor,MC202,Charles Carter,Charles Carter MC202_2,675.8,172.1786361,1170.57192,494.7719197,1888.1852,1733.56432,532.7207002,0,MC202
59,2052,0.01,A1,D Floor,MC202,Charles Carter,Charles Carter MC202_3,849.7,172.0096854,1170.827061,321.1270611,2374.0618,1248.477127,532.1979667,1170.827061,MC202
60,2101,0.01,A1,E Floor,MC202,Charles Carter,Charles Carter MC202_4,1121.2,0,0,0,3132.6328,0,0,0,MC202
61,2109,0.005,A2,A Floor,MC033,John Creed,County John Creed MC033_0,946.4,0,0,0,0,0,0,0,MC033
62,2170,0.005,A2,B Floor,MC033,John Creed,County John Creed MC033_1,928.7,0,0,0,0,0,0,0,MC033
63,2234,0.005,A2,C Floor,MC033,John Creed,County John Creed MC033_2,944.2,0,0,0,0,0,0,0,MC033
64,2299,0.005,A2,D Floor,MC033,John Creed,County John Creed MC033_3,944.2,0,0,0,0,0,0,0,MC033
65,2364,0.01,A1,A Floor,MC010,County Main,County Main MC010_0,1565.11,399.274896,1833.598202,268.4882017,3818.8684,1205.190673,1094.013215,1833.598202,MC010
66,2431,0.01,A1,B Floor,MC010,County Main,County Main MC010_1,1765.1,0,0,0,4306.844,0,0,0,MC010
67,2559,0.01,A1,C Floor,MC010,County Main,County Main MC010_2,1157.9,382.0434946,1938.392487,780.492487,2825.276,2485.919414,1046.799175,0,MC010
68,2674,0.01,A1,D Floor,MC010,County Main,County Main MC010_3,1363,382.4105043,1939.511834,576.5118343,3325.72,1988.542426,1047.804782,1158.470815,MC010
69,2776,0.01,A1,E Floor,MC010,County Main,County Main MC010_4,677,413.3271052,781.0410191,104.0410191,1651.88,488.1723924,1132.516268,781.0410191,MC010
70,2863,0.005,A1,A Floor,MC032,County South,County South MC032_0,1706.6,290.2230048,1966.142312,259.5423115,0,0,0,0,MC032
71,2918,0.005,A1,C Floor,MC032,County South,County South MC032_2,1015.6,420.0959273,1995.839179,980.2391792,0,0,0,271.6993235,MC032
72,3008,0.005,A1,D Floor,MC032,County South,County South MC032_3,717.1,354.1942318,1724.139856,1007.039856,0,0,0,87.49404336,MC032
73,3070,0.005,A1,E Floor,MC032,County South,County South MC032_4,278.6,337.5134893,1636.645812,1358.045812,0,0,0,1636.645812,MC032
74,3093,0.01,A2,A Floor,MC01,Croft,Croft MC001_0,415.9,0,0,0,0,0,0,0,MC001
75,3111,0.01,A2,B Floor,MC01,Croft,Croft MC001_1,233.2,0,0,0,0,0,0,0,MC001
76,3134,0.02,A1,External,MC212,cTAP,cTAP MC212_0,14.5,0,0,0,0,0,0,0,MC212
77,3136,0.02,A1,A Floor,MC212,cTAP,cTAP MC212_1,299.1,0,0,0,0,0,0,0,MC212
78,3150,0.02,A1,B Floor,MC212,cTAP,cTAP MC212_2,292.3,0,0,0,0,0,0,0,MC212
79,3163,0.02,A1,C Floor,MC212,cTAP,cTAP MC212_3,294.6,0,0,0,0,0,0,0,MC212
80,3174,0.02,A1,Roof,MC212,cTAP,cTAP MC212_5,14.2,0,0,0,0,0,0,0,MC212
81,3175,0.01,A1,A Floor,MC210,engineering,engineering MC210_0,1541.3,0,0,0,0,0,0,0,MC210
82,3203,0.01,A1,B Floor,MC210,engineering,engineering MC210_1,353.8,0,0,0,0,0,0,0,MC210
83,3226,0.01,A1,C Floor,MC210,engineering,engineering MC210_2,613,0,0,0,0,0,0,0,MC210
84,3255,0.01,A1,D Floor,MC210,engineering,engineering MC210_3,561.5,0,0,0,0,0,0,0,MC210
85,3285,0.01,A1,E Floor,MC210,engineering,engineering MC210_4,184.3,0,0,0,0,0,0,0,MC210
86,3287,0.005,A1,A Floor,MC044,Faraday,Faraday MC044_0,2538.1,0,0,0,0,0,0,0,MC044
87,3391,0.005,A1,B Floor,MC044,Faraday,Faraday MC044_1,941.6,0,0,0,0,0,0,0,MC044
88,3420,0.01,A1,C Floor,MC044,Faraday,Faraday MC044_2,649.7,0,0,0,0,0,0,0,MC044
89,3441,0.01,A1,D Floor,MC044,Faraday,Faraday MC044_3,126.8,0,0,0,0,0,0,0,MC044
90,3445,0.01,A2,A Floor,MC041,FASS,FASS MC041_0,455,0,0,0,0,0,0,0,MC041
91,3463,0.01,A2,B Floor,MC041,FASS,FASS MC041_1,250.2,0,0,0,0,0,0,0,MC041
92,3480,0.01,A2,C Floor,MC041,FASS,FASS MC041_2,282.8,0,0,0,0,0,0,0,MC041
93,3503,0.01,A2,D Floor,MC041,FASS,FASS MC041_3,334,0,0,0,0,0,0,0,MC041
94,3529,NTS,A1,LG Floor,MC071,Furness College,Furness College MC071_0,353.3,0,0,0,0,0,0,0,MC071
95,3551,NTS,A1,A Floor,MC071,Furness College,Furness College MC071_1,2202.7,0,0,0,0,0,0,0,MC071
96,3598,NTS,A1,B Floor,MC071,Furness College,Furness College MC071_2,1019.4,0,0,0,0,0,0,0,MC071
97,3690,NTS,A1,C Floor,MC071,Furness College,Furness College MC071_3,1076.1,0,0,0,0,0,0,0,MC071
98,3767,NTS,A1,D Floor,MC071,Furness College,Furness College MC071_4,832.4,0,0,0,0,0,0,0,MC071
99,3799,0.01,A1,A Floor,MC072,Fylde College,Fylde College MC072_0,1221.7,0,0,0,0,0,0,0,MC072
100,3837,0.01,"

A1",B Floor,"

MC072",Fylde College,Fylde College MC072_1,1327.08,0,0,0,0,0,0,0,MC072
101,3908,0.01,"

A1",C Floor,"

MC072",Fylde College,Fylde College MC072_2,1369.4,0,0,0,0,0,0,0,MC072
102,3985,0.01,A1,"

D Floor",MC072,Fylde College,Fylde College MC072_3,841.4,0,0,0,0,0,0,0,MC072
103,4033,0.01,A1,"

E Floor",0,Fylde College,Fylde College MC072_4,48.5,0,0,0,0,0,0,0,MC072
104,4041,102.7,A1,A Floor,MC078,George Fox,George Fox MC078_0,1529,225.3021175,1723.058831,194.0588307,5313.275,1191.272086,850.5154936,241.2075181,MC078
105,4092,102.7,A1,B Floor,MC078,George Fox,George Fox MC078_1,1287.4,291.8095206,1481.851313,194.4513125,4473.715,1120.273705,1101.58094,0,MC078
106,4142,102.7,A1,C Floor,MC078,George Fox,George Fox MC078_2,1207.6,283.5360869,1515.362881,307.7628813,4196.41,1524.084877,1070.348728,0,MC078
107,4228,102.7,A1,D Floor,MC078,George Fox,George Fox MC078_3,1207.6,284.6149814,1521.296305,313.6963052,4196.41,1546.483552,1074.421555,1521.296305,MC078
108,4314,0.005,A1,"

A Floor",AP001-11,Graduate College,Graduate College AP001-AP011_0,2820.8,0,0,0,0,0,0,0,AP001-AP011
109,4488,0.005,A1,A Floor,MC031,Great Hall,Great Hall MC031_0,4965.37,380.4488816,4078.862119,0,24429.6204,1223.658636,1985.943162,1302.897936,MC031
110,4576,0.005,A1,B Floor,MC031,Great Hall,Great Hall MC031_1,1106.69,345.2389372,2775.964183,1669.274183,5444.9148,9045.618235,1802.147252,2775.964183,MC031
111,4604,-1,A3,LG Floor,MC198,Grizedale College,Grizedale MC198_0,11.3,0,0,0,0,0,0,0,MC198
112,4605,0.01,A1,"

A Floor",MC198,Grizedale College,Grizedale MC198_1,903.1,0,0,0,0,0,0,0,MC198
113,4638,0.01,A1,"

B Floor",MC198,Grizedale College,Grizedale MC198_2,644.9,0,0,0,0,0,0,0,MC198
114,4688,0.01,A1,"

C Floor",MC198,Grizedale College,Grizedale MC198_3,402.6,0,0,0,0,0,0,0,MC198
115,4728,0.01,A1,"

D Floor",MC198,Grizedale College,Grizedale MC198_4,403.8,0,0,0,0,0,0,0,MC198
116,4768,0.01,A1,A Floor,MC207,Human Resources,Human Resources Building MC207_0,774.3,0,0,0,0,0,0,0,MC207
117,4797,0.01,A1,B Floor,MC207,Human Resources,Human Resources Building MC207_1,138.6,0,0,0,0,0,0,0,MC207
118,4803,NTS,A1,A Floor,MC102,InfoLab21,Infolab21 MC102_0,1013.7,0,0,0,0,0,0,0,MC102
119,4842,NTS,A1,B Floor,MC102,InfoLab21,Infolab21 MC102_1,1689.98,0,0,0,0,0,0,0,MC102
120,4915,NTS,A1,C Floor,MC102,InfoLab21,Infolab21 MC102_2,1561.37,0,0,0,0,0,0,0,MC102
121,4985,NTS,A1,D Floor,MC102,InfoLab21,Infolab21 MC102_3,1348.11,0,0,0,0,0,0,0,MC102
122,5028,0.01,A3,A Floor,MC213,IsoLab,IsoLab MC213_0,175,0,0,0,0,0,0,0,MC213
123,5032,0.01,A1,A Floor,MC197,ISS Building,ISS MC197_0,677.1,0,0,0,0,0,0,0,MC197
124,5055,0.01,A1,B Floor,MC197,ISS Building,ISS MC197_1,659.1,0,0,0,0,0,0,0,MC197
125,5081,0.01,A1,C Floor,MC197,ISS Building,ISS MC197_2,718.4,0,0,0,0,0,0,0,MC197
126,5109,0.01,A1,D Floor,MC197,ISS Building,ISS MC197_3,174.3,0,0,0,0,0,0,0,MC197
127,5115,0.01,A1,"

A Floor",MC103,Lancaster Conf. Centre,Lancaster Conference Centre MC103_0,788.8,0,0,0,0,0,0,0,MC103
128,5138,-1,"

A1",A Floor,"

MC070_69_68","LEC 1, 2,3",LEC MC068_69_70_1,3639.4,0,0,0,0,0,0,0,MC068
129,5231,-1,"

A1",B Floor,"

MC070_69_68","LEC 1, 2,3",LEC MC068_69_70_2,2973.21,0,0,0,0,0,0,0,MC068
130,5359,-1,"

A1",C Floor,"

MC070_69_68","LEC 1, 2,3",LEC MC068_69_70_3,4884.1,0,0,0,0,0,0,0,MC068
131,5432,NTS,A1,D Floor,MC070_69 68,"LEC 1-3, CEH",LEC MC068_69_70_4,267.6,0,0,0,0,0,0,0,MC068
132,5439,0.005,A1,LG Floor,MC065,Library,Library MC065_0,403.5,354.2717999,1031.355832,627.8558319,1258.92,2268.316945,1211.609556,0,MC065
133,5459,0.005,A1,A Floor,MC065,Library,Library MC065_1,2256.6,351.3246072,4626.972336,2370.372336,7040.592,8783.65339,1201.530157,0,MC065
134,5522,0.005,A1,B Floor,MC065,Library,Library MC065_2,3241.04,346.6589393,4777.164019,1536.124019,10112.0448,6225.856144,1185.573573,0,MC065
135,5588,0.005,A1,C Floor,MC065,Library,Library MC065_3,2286,347.1617439,4778.411886,2492.411886,7132.32,9209.848651,1187.293164,4778.411886,MC065
