index,Unnamed: 0,scale,paper size,drawing title,building number,building name,name,area_air,perimeter,area_total,area_wall,volume_air,volume_wall,surface_area_wall,surface_area_roof,building_num_from_path
0,0,0.01,A2,LG Floor,MC003,Bailrigg House,Bailrigg House MC003_0,98.7,0,0,0.0,-29.61,0.0,0.0,0,MC003
1,7,0.01,A2,A Floor,MC003,Bailrigg House,Bailrigg House MC003_1,489.40000000000003,0,0,0.0,-146.82,0.0,0.0,0,MC003
2,38,0.01,A2,B Floor,MC003,Bailrigg House,Bailrigg House MC003_2,833.7,0,0,0.0,-250.11,0.0,0.0,0,MC003
3,60,0.01,A2,C Floor,MC003,Bailrigg House,Bailrigg House MC003_3,236.5,0,0,0.0,-70.95,0.0,0.0,0,MC003
4,75,0.01,A1,A Floor,AP081,Barker House Farm,Barker House Farm AP081_0,1006.9999999999998,0,0,0.0,0.0,0.0,0.0,0,AP081
5,114,0.01,A1,B Floor,AP081,Barker House Farm,Barker House Farm AP081_1,71.9,0,0,0.0,0.0,0.0,0.0,0,AP081
6,117,-1,A3,A Floor,"

MC007",Bigforth Farm,Bigforth Farm MC007_0,296.90000000000003,0,0,0.0,0.0,0.0,0.0,0,MC007
7,132,0.01,A1,A Floor,MC030,Bowland Annexe,Bowland Annexe MC030_0,470.49999999999994,0,0,0.0,0.0,0.0,0.0,0,MC030
8,144,0.01,A1,B Floor,MC030,Bowland Annexe,Bowland Annexe MC030_1,448.8,0,0,0.0,0.0,0.0,0.0,0,MC030
9,153,0.01,A1,C Floor,MC030,Bowland Annexe,Bowland Annexe MC030_2,388.6000000000001,0,0,0.0,0.0,0.0,0.0,0,MC030
10,189,0.01,A1,D Floor,MC030,Bowland Annexe,Bowland Annexe MC030_3,421.59999999999997,0,0,0.0,0.0,0.0,0.0,0,MC030
11,228,0.01,A1,A Floor,MC042,Bowland ASH House,Bowland ASH House MC042_0,577.2,0,0,0.0,0.0,0.0,0.0,0,MC042
12,247,0.01,A1,B Floor,MC042,Bowland ASH House,Bowland ASH House MC042_1,30.5,0,0,0.0,0.0,0.0,0.0,0,MC042
13,252,0.01,A1,C Floor,MC042,Bowland ASH House,Bowland ASH House MC042_2,22.2,0,0,0.0,0.0,0.0,0.0,0,MC042
14,256,0.01,A1,D Floor,MC042,Bowland ASH House,Bowland ASH House MC042_3,42.8,0,0,0.0,0.0,0.0,0.0,0,MC042
15,260,0.02,A1,A Floor,MC052,Bowland East,Bowland East MC052_0,270.01,0,0,0.0,722.27675,0.0,0.0,0,MC052
16,272,0.02,A1,B Floor,MC052,Bowland East,Bowland East MC052_1,257.9,0,0,0.0,689.8825,0.0,0.0,0,MC052
17,298,0.02,A1,C Floor,MC052,Bowland East,Bowland East MC052_2,257.9,0,0,0.0,689.8825,0.0,0.0,0,MC052
18,324,0.02,A1,D Floor,MC052,Bowland East,Bowland East MC052_3,88.1,0,0,0.0,235.66750000000002,0.0,0.0,0,MC052
19,333,0.02,A1,A Floor,MC029,Bowland Hall,Bowland Hall MC029_0,294.09999999999997,0,0,0.0,1092.5814999999998,0.0,0.0,0,MC029
20,350,0.02,A1,B Floor,MC029,Bowland Hall,Bowland Hall MC029_1,155.02,0,0,0.0,575.8993,0.0,0.0,0,MC029
21,355,0.005,A1,A Floor,MC014,Bowland Hall Residences,Bowland Hall Residences MC014_0,1294.9999999999995,0,0,0.0,0.0,0.0,0.0,0,MC014
22,458,0.005,A1,B Floor,MC014,Bowland Hall Residences,Bowland Hall Residences MC014_1,1447.4999999999998,0,0,0.0,0.0,0.0,0.0,0,MC014
23,566,0.005,A1,C Floor,MC014,Bowland Hall Residences,Bowland Hall Residences MC014_2,1328.3999999999999,0,0,0.0,0.0,0.0,0.0,0,MC014
24,666,0.005,A1,D Floor,MC014,Bowland Hall Residences,Bowland Hall Residences MC014_3,1572.3999999999992,0,0,0.0,0.0,0.0,0.0,0,MC014
25,774,-1,A3,LG Floor,MC046,Bowland Main,Bowland Main MC046_0,164.0,0,0,0.0,0.0,0.0,0.0,0,MC046
