date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-11 00:00:00,5,3,0.0,7.9,2,30,02:55 AM,12:52 PM,08:25 AM,04:13 PM,1,0,3,0,18,14,88,0.0,1011,3,10,44,10,LA14YW
2018-01-11 03:00:00,5,3,0.0,7.9,2,30,02:55 AM,12:52 PM,08:25 AM,04:13 PM,1,0,3,0,16,18,87,0.0,1014,3,10,17,9,LA14YW
2018-01-11 06:00:00,5,3,0.0,7.9,2,30,02:55 AM,12:52 PM,08:25 AM,04:13 PM,1,1,3,1,10,77,88,0.0,1017,3,10,13,6,LA14YW
2018-01-11 09:00:00,5,3,0.0,7.9,2,30,02:55 AM,12:52 PM,08:25 AM,04:13 PM,2,2,4,2,12,53,87,0.0,1019,4,10,8,8,LA14YW
2018-01-11 12:00:00,5,3,0.0,7.9,2,30,02:55 AM,12:52 PM,08:25 AM,04:13 PM,3,3,5,3,11,45,83,0.0,1021,5,10,360,8,LA14YW
2018-01-11 15:00:00,5,3,0.0,7.9,2,30,02:55 AM,12:52 PM,08:25 AM,04:13 PM,3,4,6,4,11,51,85,0.0,1023,5,10,342,8,LA14YW
2018-01-11 18:00:00,5,3,0.0,7.9,2,30,02:55 AM,12:52 PM,08:25 AM,04:13 PM,3,3,5,3,11,36,87,0.0,1025,4,10,73,6,LA14YW
2018-01-11 21:00:00,5,3,0.0,7.9,2,30,02:55 AM,12:52 PM,08:25 AM,04:13 PM,2,3,4,3,11,23,88,0.0,1025,4,10,90,6,LA14YW
2018-01-12 00:00:00,6,4,0.0,4.9,2,23,04:01 AM,01:18 PM,08:25 AM,04:14 PM,3,2,4,2,18,74,91,0.0,1027,4,10,109,10,LA14YW
2018-01-12 03:00:00,6,4,0.0,4.9,2,23,04:01 AM,01:18 PM,08:25 AM,04:14 PM,3,2,5,2,18,82,92,0.0,1026,5,10,124,11,LA14YW
2018-01-12 06:00:00,6,4,0.0,4.9,2,23,04:01 AM,01:18 PM,08:25 AM,04:14 PM,3,1,5,1,27,82,91,0.0,1026,5,10,127,15,LA14YW
2018-01-12 09:00:00,6,4,0.0,4.9,2,23,04:01 AM,01:18 PM,08:25 AM,04:14 PM,3,0,4,0,31,51,93,0.0,1025,4,10,129,19,LA14YW
2018-01-12 12:00:00,6,4,0.0,4.9,2,23,04:01 AM,01:18 PM,08:25 AM,04:14 PM,4,2,6,2,30,91,87,0.0,1025,6,10,136,22,LA14YW
2018-01-12 15:00:00,6,4,0.0,4.9,2,23,04:01 AM,01:18 PM,08:25 AM,04:14 PM,3,2,6,2,32,62,81,0.0,1023,6,10,142,22,LA14YW
2018-01-12 18:00:00,6,4,0.0,4.9,2,23,04:01 AM,01:18 PM,08:25 AM,04:14 PM,2,0,4,0,33,60,85,0.0,1023,4,10,131,19,LA14YW
2018-01-12 21:00:00,6,4,0.0,4.9,2,23,04:01 AM,01:18 PM,08:25 AM,04:14 PM,2,-0,4,-0,41,54,84,0.0,1021,4,10,137,26,LA14YW
2018-01-13 00:00:00,6,5,0.0,3.0,2,16,05:04 AM,01:49 PM,08:24 AM,04:16 PM,3,1,5,1,32,91,88,0.0,1020,5,10,139,22,LA14YW
2018-01-13 03:00:00,6,5,0.0,3.0,2,16,05:04 AM,01:49 PM,08:24 AM,04:16 PM,3,0,5,0,41,67,87,0.1,1019,5,10,137,29,LA14YW
2018-01-13 06:00:00,6,5,0.0,3.0,2,16,05:04 AM,01:49 PM,08:24 AM,04:16 PM,3,0,5,0,35,100,87,0.0,1017,5,10,140,24,LA14YW
2018-01-13 09:00:00,6,5,0.0,3.0,2,16,05:04 AM,01:49 PM,08:24 AM,04:16 PM,3,-0,5,-0,42,100,85,0.1,1017,5,10,145,29,LA14YW
2018-01-13 12:00:00,6,5,0.0,3.0,2,16,05:04 AM,01:49 PM,08:24 AM,04:16 PM,3,1,6,1,38,100,82,0.0,1017,6,10,147,27,LA14YW
2018-01-13 15:00:00,6,5,0.0,3.0,2,16,05:04 AM,01:49 PM,08:24 AM,04:16 PM,3,1,6,1,42,100,82,0.0,1016,6,10,146,30,LA14YW
2018-01-13 18:00:00,6,5,0.0,3.0,2,16,05:04 AM,01:49 PM,08:24 AM,04:16 PM,3,1,5,1,38,79,86,0.0,1017,5,10,136,25,LA14YW
2018-01-13 21:00:00,6,5,0.0,3.0,2,16,05:04 AM,01:49 PM,08:24 AM,04:16 PM,3,0,5,0,37,100,88,0.0,1018,5,10,140,24,LA14YW
2018-01-14 00:00:00,4,2,0.0,4.9,1,9,06:04 AM,02:26 PM,08:23 AM,04:18 PM,2,-1,4,-1,33,100,91,0.0,1019,4,10,139,22,LA14YW
2018-01-14 03:00:00,4,2,0.0,4.9,1,9,06:04 AM,02:26 PM,08:23 AM,04:18 PM,2,-1,3,-1,32,69,90,0.0,1018,3,10,142,21,LA14YW
2018-01-14 06:00:00,4,2,0.0,4.9,1,9,06:04 AM,02:26 PM,08:23 AM,04:18 PM,1,-2,3,-2,27,64,89,0.0,1018,2,10,144,17,LA14YW
2018-01-14 09:00:00,4,2,0.0,4.9,1,9,06:04 AM,02:26 PM,08:23 AM,04:18 PM,1,-2,2,-2,32,48,89,0.0,1018,2,10,151,21,LA14YW
2018-01-14 12:00:00,4,2,0.0,4.9,1,9,06:04 AM,02:26 PM,08:23 AM,04:18 PM,2,-1,4,-1,34,79,85,0.0,1016,4,10,166,26,LA14YW
2018-01-14 15:00:00,4,2,0.0,4.9,1,9,06:04 AM,02:26 PM,08:23 AM,04:18 PM,2,-1,4,-1,38,89,86,0.0,1013,4,10,172,29,LA14YW
2018-01-14 18:00:00,4,2,0.0,4.9,1,9,06:04 AM,02:26 PM,08:23 AM,04:18 PM,2,-2,4,-2,45,100,87,0.0,1011,4,10,164,32,LA14YW
2018-01-14 21:00:00,4,2,0.0,4.9,1,9,06:04 AM,02:26 PM,08:23 AM,04:18 PM,4,1,6,1,57,100,88,1.6,1006,6,9,189,40,LA14YW
2018-01-15 00:00:00,8,6,0.0,6.8,2,1,06:58 AM,03:10 PM,08:22 AM,04:19 PM,5,1,7,1,65,100,90,0.0,1001,7,10,199,44,LA14YW
2018-01-15 03:00:00,8,6,0.0,6.8,2,1,06:58 AM,03:10 PM,08:22 AM,04:19 PM,8,4,9,4,61,100,94,10.3,996,9,5,230,41,LA14YW
2018-01-15 06:00:00,8,6,0.0,6.8,2,1,06:58 AM,03:10 PM,08:22 AM,04:19 PM,7,5,8,5,37,88,92,0.0,992,8,10,233,24,LA14YW
2018-01-15 09:00:00,8,6,0.0,6.8,2,1,06:58 AM,03:10 PM,08:22 AM,04:19 PM,7,4,8,4,50,100,93,3.3,990,8,7,255,36,LA14YW
2018-01-15 12:00:00,8,6,0.0,6.8,2,1,06:58 AM,03:10 PM,08:22 AM,04:19 PM,5,4,8,4,37,51,81,0.0,989,8,10,288,28,LA14YW
2018-01-15 15:00:00,8,6,0.0,6.8,2,1,06:58 AM,03:10 PM,08:22 AM,04:19 PM,3,2,7,2,56,44,77,0.4,989,7,9,279,40,LA14YW
2018-01-15 18:00:00,8,6,0.0,6.8,2,1,06:58 AM,03:10 PM,08:22 AM,04:19 PM,2,1,6,1,41,100,77,0.0,989,6,10,274,28,LA14YW
2018-01-15 21:00:00,8,6,0.0,6.8,2,1,06:58 AM,03:10 PM,08:22 AM,04:19 PM,2,-0,6,-0,60,65,76,1.0,988,6,10,274,43,LA14YW
2018-01-16 00:00:00,4,3,0.0,4.9,2,0,07:45 AM,04:01 PM,08:21 AM,04:21 PM,1,-1,5,-1,55,32,76,0.0,987,5,10,274,40,LA14YW
2018-01-16 03:00:00,4,3,0.0,4.9,2,0,07:45 AM,04:01 PM,08:21 AM,04:21 PM,0,-2,4,-2,60,35,75,0.8,988,4,9,283,42,LA14YW
2018-01-16 06:00:00,4,3,0.0,4.9,2,0,07:45 AM,04:01 PM,08:21 AM,04:21 PM,-1,-2,4,-2,48,29,73,0.0,989,4,10,280,33,LA14YW
2018-01-16 09:00:00,4,3,0.0,4.9,2,0,07:45 AM,04:01 PM,08:21 AM,04:21 PM,-0,-2,4,-2,61,51,74,0.7,989,4,10,273,43,LA14YW
2018-01-16 12:00:00,4,3,0.0,4.9,2,0,07:45 AM,04:01 PM,08:21 AM,04:21 PM,-0,-2,4,-2,51,100,73,0.0,990,4,10,264,37,LA14YW
2018-01-16 15:00:00,4,3,0.0,4.9,2,0,07:45 AM,04:01 PM,08:21 AM,04:21 PM,-0,-3,4,-3,67,100,75,1.6,988,4,10,268,49,LA14YW
2018-01-16 18:00:00,4,3,0.0,4.9,2,0,07:45 AM,04:01 PM,08:21 AM,04:21 PM,-1,-3,3,-3,45,100,76,0.0,987,3,10,271,31,LA14YW
2018-01-16 21:00:00,4,3,0.0,4.9,2,0,07:45 AM,04:01 PM,08:21 AM,04:21 PM,-1,-4,3,-4,62,100,74,1.0,988,3,0,273,45,LA14YW
2018-01-17 00:00:00,5,3,0.0,6.8,1,0,08:25 AM,04:59 PM,08:20 AM,04:23 PM,-2,-4,3,-4,61,88,70,0.0,989,3,10,280,43,LA14YW
2018-01-17 03:00:00,5,3,0.0,6.8,1,0,08:25 AM,04:59 PM,08:20 AM,04:23 PM,-0,-3,4,-3,69,100,73,0.7,992,4,10,287,48,LA14YW
2018-01-17 06:00:00,5,3,0.0,6.8,1,0,08:25 AM,04:59 PM,08:20 AM,04:23 PM,-1,-2,4,-2,65,43,71,0.0,996,4,10,290,41,LA14YW
2018-01-17 09:00:00,5,3,0.0,6.8,1,0,08:25 AM,04:59 PM,08:20 AM,04:23 PM,-0,-2,4,-2,65,38,74,0.4,1000,4,9,285,42,LA14YW
2018-01-17 12:00:00,5,3,0.0,6.8,1,0,08:25 AM,04:59 PM,08:20 AM,04:23 PM,1,-1,5,-1,52,57,78,0.0,1002,5,10,273,37,LA14YW
2018-01-17 15:00:00,5,3,0.0,6.8,1,0,08:25 AM,04:59 PM,08:20 AM,04:23 PM,1,-1,5,-1,63,70,74,0.7,1002,5,10,280,43,LA14YW
2018-01-17 18:00:00,5,3,0.0,6.8,1,0,08:25 AM,04:59 PM,08:20 AM,04:23 PM,1,-0,4,-0,40,98,81,0.0,1001,4,10,257,26,LA14YW
2018-01-17 21:00:00,5,3,0.0,6.8,1,0,08:25 AM,04:59 PM,08:20 AM,04:23 PM,2,-0,4,-0,31,100,88,2.0,996,4,9,204,21,LA14YW
2018-01-18 00:00:00,5,3,0.0,3.0,1,6,08:59 AM,06:01 PM,08:19 AM,04:25 PM,2,-2,3,-2,36,100,93,0.0,987,3,10,134,26,LA14YW
2018-01-18 03:00:00,5,3,0.0,3.0,1,6,08:59 AM,06:01 PM,08:19 AM,04:25 PM,4,-0,5,-0,57,100,90,3.7,985,5,7,306,41,LA14YW
2018-01-18 06:00:00,5,3,0.0,3.0,1,6,08:59 AM,06:01 PM,08:19 AM,04:25 PM,1,-1,3,-1,31,80,84,0.0,994,3,10,319,22,LA14YW
2018-01-18 09:00:00,5,3,0.0,3.0,1,6,08:59 AM,06:01 PM,08:19 AM,04:25 PM,2,-1,4,-1,34,100,85,0.9,997,4,6,275,23,LA14YW
